"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"Salesforce.com Inc","7372","2017-05-24","","Provides software integrated services","United States","SALESFORCE.COM INC/DELL TECHNOLOGIES INC-STRATEGIC ALLIANCE","5099","United States","Completed/Signed","Strategic Alliance",NA,3108013045,"United States","Americas"
"Dell Technologies Inc","3571","2017-05-24","","Manufactures electronic computers","United States","SALESFORCE.COM INC/DELL TECHNOLOGIES INC-STRATEGIC ALLIANCE","5099","United States","Completed/Signed","Strategic Alliance",NA,3108013045,"United States","Americas"
"Infosys Ltd","7371","2017-05-25","","Provides information technology and consulting services","India","INFOSYS LTD/HP INC-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,3107898045,"India","Asia"
"HP Inc","3571","2017-05-25","","Electronic Computer Manufacturing","United States","INFOSYS LTD/HP INC-STRATEGIC ALLIANCE","7371","Supranational","Completed/Signed","Strategic Alliance",NA,3107898045,"United States","Americas"
"Leidos Inc","7389","2017-06-07","","All Other Professional, Scientific, and Technical Services","United States","SCIENCE APPLICATIONS INTERNATIONAL CORP{SAIC INC}/CRAY INC-STRATEGIC~ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3378715045,"United States","Americas"
"Cray Inc","3571","2017-06-07","","Manufactures and wholesales computer systems and supercomputers","United States","SCIENCE APPLICATIONS INTERNATIONAL CORP{SAIC INC}/CRAY INC-STRATEGIC~ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3378715045,"United States","Americas"
"Concurrent Computer Corp","8711","2017-06-13","","Design, mnfr, whl computers","United States","CONCURRENT COMPUTER CORP/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3140980045,"United States","Americas"
"Hewlett Packard Enterprise Co","3571","2017-06-13","","Manufactures electronic computers","United States","CONCURRENT COMPUTER CORP/HEWLETT PACKARD ENTERPRISE CO-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3140980045,"United States","Americas"
"Finastra NV","6289","2017-06-15","","Miscellaneous Financial Investment Activities","United Kingdom","FINASTRA NV/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","6000","United States","Completed/Signed","Strategic Alliance",NA,3141386045,"United Kingdom","Europe"
"IBM Corp","3571","2017-06-15","","Manufacture computer products","United States","FINASTRA NV/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","6000","United States","Completed/Signed","Strategic Alliance",NA,3141386045,"United States","Americas"
"HP Inc","3571","2017-06-27","","Electronic Computer Manufacturing","United States","HP INC/LINGO MEDIA CORP-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,3122724045,"United States","Americas"
"Lingo Media Corp","8299","2017-06-27","","Pvd online education services","Canada","HP INC/LINGO MEDIA CORP-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,3122724045,"Canada","Americas"
"Evonik Degussa Antwerpen NV","4911","2017-07-06","","Own,operate power plants","Belgium","EVONIK DEGUSSA ANTWERPEN NV/INTERNATIONAL BUSINESS/UNIVERSITAT DUISBURG~ESSEN-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,3125273045,"Belgium","Europe"
"IBM Corp","3571","2017-07-06","","Manufacture computer products","United States","EVONIK DEGUSSA ANTWERPEN NV/INTERNATIONAL BUSINESS/UNIVERSITAT DUISBURG~ESSEN-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,3125273045,"United States","Americas"
"Universitat Duisburg Essen","8221","2017-07-06","","Own,op college,university","Germany","EVONIK DEGUSSA ANTWERPEN NV/INTERNATIONAL BUSINESS/UNIVERSITAT DUISBURG~ESSEN-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,3125273045,"Germany","Europe"
"Segmint Inc","8742","2017-07-11","","Provides marketing consulting services","United States","SEGMINT INC/INTERNATIONAL BUSINESS-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3127126045,"United States","Americas"
